innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
1.9516,0.4845,0.6911,0.3249,0.4618,3828.0000,209,Telecom Corp of New Zealand Ltd,2014
1.6483,1.3184,0.3621,0.4083,0.7735,946.0000,210,Vector Limited,2015
0.6860,0.1784,0.1543,0.1929,0.3369,939.0000,211,Vector Limited,2012
2.2761,0.8444,0.8739,0.0655,1.7625,1832.0000,212,Vector Limited,2013
1.1547,1.8416,1.6586,0.0348,2.4916,776.0000,213,Vector Limited,2014
1.1725,0.5519,0.8677,0.0960,0.6303,2439.0000,214,Vector Limited,2015
1.9935,0.4725,1.4390,0.0890,2.6557,1012.0000,215,Vector Limited,2013
2.0801,0.9890,0.9485,0.2560,1.0659,1319.0000,216,Vector Limited,2014
1.8227,1.4254,1.4864,0.4409,1.3383,1415.0000,217,Vector Limited,2015
0.5427,0.8634,1.2656,0.2818,1.1366,1366.0000,218,Vector Limited,2010
0.8841,0.0000,0.6182,0.5275,0.4260,1300.0000,219,Vector Limited,2011
0.1159,0.3954,0.5211,0.0000,0.1150,882.0000,220,Vector Limited,2011
0.8102,0.1835,1.7461,0.0000,1.7114,637.0000,221,Vector Limited,2012
0.9330,1.6747,0.6069,2.5522,0.9390,5612.0000,222,Westpac Banking Corporation,2013
3.1193,0.4649,0.9737,0.8293,0.5791,2086.0000,223,Westpac Banking Corporation,2015
0.6957,0.7028,0.5309,0.7002,1.0352,2691.0000,224,Westpac Banking Corporation,2010
1.1721,0.4618,1.0299,1.1084,0.5381,2478.0000,225,Westpac Banking Corporation,2011
1.0143,0.6270,0.5116,0.4391,0.1028,1731.0000,226,Westpac Banking Corporation,2012
0.9180,0.6836,0.5125,0.4044,0.0683,2726.0000,227,Westpac Banking Corporation,2013
2.2649,0.2203,1.3085,0.4423,0.2479,1344.0000,228,Westpac Banking Corporation,2014
0.5550,0.3661,1.0846,0.5190,0.8907,2006.0000,229,Westpac Banking Corporation,2015
1.3253,0.2149,0.4214,0.1162,0.2868,1572.0000,230,Westpac Banking Corporation,2016
0.5606,0.3110,0.1850,0.1899,0.0000,1446.0000,231,Westpac Banking Corporation,2017
1.7690,0.7088,0.4022,0.6522,0.9511,1795.0000,232,Westpac Banking Corporation,2018
1.0939,0.6828,0.2287,0.2933,0.4036,1888.0000,233,Westpac Banking Corporation,2019
0.8059,0.8516,0.5372,0.7101,0.8714,3619.0000,234,Westpac Banking Corporation,2020
0.6376,0.3881,0.3264,0.5463,0.3345,2531.0000,235,Westpac Banking Corporation,2011
0.9528,0.3904,0.5641,0.7993,0.3576,2974.0000,236,Westpac Banking Corporation,2012
0.3607,0.2418,0.7336,0.0935,0.1838,1615.0000,237,Westpac Banking Corporation,2013
1.0140,0.1101,0.4813,0.5023,0.0832,1870.0000,238,Westpac Banking Corporation,2014
1.3408,1.1788,0.4194,1.0962,0.3182,1880.0000,239,Westpac Banking Corporation,2015
0.2186,0.4473,0.3645,0.7435,0.2051,1872.0000,240,Westpac Banking Corporation,2016
0.2079,0.3655,0.4840,0.1274,0.2195,1744.0000,241,Westpac Banking Corporation,2017
1.1609,0.8236,0.4703,0.8242,0.6738,1482.0000,242,Westpac Banking Corporation,2018
0.3248,0.0000,0.4387,0.1603,0.2633,1386.0000,243,Westpac Banking Corporation,2019
0.3418,0.8722,0.6453,0.8712,0.5850,3145.0000,244,Westpac Banking Corporation,2020
1.3219,0.4266,0.9557,1.3177,0.2512,3285.0000,245,Westpac Banking Corporation,2021
1.0160,0.2726,1.1305,0.3750,0.4810,3035.0000,246,Westpac Banking Corporation,2011
1.2140,0.2058,0.7532,1.0360,0.8675,2599.0000,247,Westpac Banking Corporation,2012
0.4326,0.2365,0.1466,0.2230,0.3560,2010.0000,248,Westpac Banking Corporation,2021
0.7825,0.2648,0.5009,0.4429,0.6271,2388.0000,249,Westpac Banking Corporation,2011
0.4031,0.5535,0.3806,0.4983,0.4665,2985.0000,250,Westpac Banking Corporation,2020
